i;tempodareboot;Data;Ora;dsTemp;dh11_Temp;dh11Hum
0;2;2018/12/30;8:21:22;22.4;23;42
1;17;2018/12/30;8:21:37;22.4;23;41
2;31;2018/12/30;8:21:51;22.4;23;43
3;60;2018/12/30;8:22:20;22.4;23;42

4;75;2018/12/30;8:22:35;22.4;23;42

5;90;2018/12/30;8:22:50;22.4;23;42

6;105;2018/12/30;8:23:5;22.4;23;42

7;119;2018/12/30;8:23:19;22.4;23;42

8;134;2018/12/30;8:23:34;22.4;23;42

9;149;2018/12/30;8:23:49;22.4;24;42

10;164;2018/12/30;8:24:4;22.4;23;42

11;197;2018/12/30;8:24:37;22.4;23;42

12;213;2018/12/30;8:24:53;22.4;23;42

13;227;2018/12/30;8:25:7;22.4;23;42

14;242;2018/12/30;8:25:22;22.4;23;42

15;256;2018/12/30;8:25:36;22.4;23;42

16;271;2018/12/30;8:25:51;22.4;23;42

17;286;2018/12/30;8:26:6;22.4;23;42

18;300;2018/12/30;8:26:20;22.4;23;42

19;315;2018/12/30;8:26:35;22.4;23;42

20;330;2018/12/30;8:26:50;22.4;23;42

21;344;2018/12/30;8:27:4;22.4;23;42


